"kind","group","element","scenario","period","resolution","file","path"
"elements","bird","bird-cawa","landrcs-fs-v6a","2011","250m","mean.tif","api/v1/public/wbi-nwt/elements/bird-cawa/landrcs-fs-v6a/2011/250m/mean.tif"
"elements","bird","bird-chsp","landrcs-fs-v6a","2011","250m","mean.tif","api/v1/public/wbi-nwt/elements/bird-chsp/landrcs-fs-v6a/2011/250m/mean.tif"
"elements","bird","bird-cora","landrcs-fs-v6a","2011","250m","mean.tif","api/v1/public/wbi-nwt/elements/bird-cora/landrcs-fs-v6a/2011/250m/mean.tif"
"elements","bird","bird-coye","landrcs-fs-v6a","2011","250m","mean.tif","api/v1/public/wbi-nwt/elements/bird-coye/landrcs-fs-v6a/2011/250m/mean.tif"
"elements","bird","bird-deju","landrcs-fs-v6a","2011","250m","mean.tif","api/v1/public/wbi-nwt/elements/bird-deju/landrcs-fs-v6a/2011/250m/mean.tif"
"elements","bird","bird-eaki","landrcs-fs-v6a","2011","250m","mean.tif","api/v1/public/wbi-nwt/elements/bird-eaki/landrcs-fs-v6a/2011/250m/mean.tif"
"elements","bird","bird-eaph","landrcs-fs-v6a","2011","250m","mean.tif","api/v1/public/wbi-nwt/elements/bird-eaph/landrcs-fs-v6a/2011/250m/mean.tif"
"elements","bird","bird-fosp","landrcs-fs-v6a","2011","250m","mean.tif","api/v1/public/wbi-nwt/elements/bird-fosp/landrcs-fs-v6a/2011/250m/mean.tif"
"elements","bird","bird-graj","landrcs-fs-v6a","2011","250m","mean.tif","api/v1/public/wbi-nwt/elements/bird-graj/landrcs-fs-v6a/2011/250m/mean.tif"
"elements","bird","bird-heth","landrcs-fs-v6a","2011","250m","mean.tif","api/v1/public/wbi-nwt/elements/bird-heth/landrcs-fs-v6a/2011/250m/mean.tif"
"elements","bird","bird-hola","landrcs-fs-v6a","2011","250m","mean.tif","api/v1/public/wbi-nwt/elements/bird-hola/landrcs-fs-v6a/2011/250m/mean.tif"
