"year","resolution","scenario","element_name","path","mean","max","group","species_code","common_name","scientific_name","pal_max"
2100,"250m","landrcs-fs-v6a","bird-wiwr","bird-wiwr/landrcs-fs-v6a/2100/250m/mean.tif",0.260348771357295,1.96530711650848,"bird","WIWR","Winter Wren","Troglodytes hiemalis",NA
2011,"1000m","landr-scfm-v4","bird-wtsp","bird-wtsp/landr-scfm-v4/2011/1000m/mean.tif",0.102782357084345,0.83848112821579,"bird","WTSP","White-throated Sparrow","Zonotrichia albicollis",NA
2100,"1000m","landr-scfm-v4","bird-wtsp","bird-wtsp/landr-scfm-v4/2100/1000m/mean.tif",0.0988851207921294,0.83808296918869,"bird","WTSP","White-throated Sparrow","Zonotrichia albicollis",NA
2011,"250m","landr-scfm-v4","bird-wtsp","bird-wtsp/landr-scfm-v4/2011/250m/mean.tif",0.102898377114399,2.06085777282715,"bird","WTSP","White-throated Sparrow","Zonotrichia albicollis",NA
2100,"250m","landr-scfm-v4","bird-wtsp","bird-wtsp/landr-scfm-v4/2100/250m/mean.tif",0.0992599743754809,2.05848121643066,"bird","WTSP","White-throated Sparrow","Zonotrichia albicollis",NA
2011,"1000m","landrcs-fs-v6a","bird-wtsp","bird-wtsp/landrcs-fs-v6a/2011/1000m/mean.tif",0.158077064230528,1.00219428539276,"bird","WTSP","White-throated Sparrow","Zonotrichia albicollis",NA
2100,"1000m","landrcs-fs-v6a","bird-wtsp","bird-wtsp/landrcs-fs-v6a/2100/1000m/mean.tif",0.259603618473508,1.49048686027527,"bird","WTSP","White-throated Sparrow","Zonotrichia albicollis",NA
2011,"250m","landrcs-fs-v6a","bird-wtsp","bird-wtsp/landrcs-fs-v6a/2011/250m/mean.tif",0.158519814479694,2.45125460624695,"bird","WTSP","White-throated Sparrow","Zonotrichia albicollis",NA
2100,"250m","landrcs-fs-v6a","bird-wtsp","bird-wtsp/landrcs-fs-v6a/2100/250m/mean.tif",0.260348771357295,1.96530711650848,"bird","WTSP","White-throated Sparrow","Zonotrichia albicollis",NA
2011,"1000m","landr-scfm-v4","bird-wwcr","bird-wwcr/landr-scfm-v4/2011/1000m/mean.tif",0.102782357084345,0.83848112821579,"bird","WWCR","White-winged Crossbill","Loxia leucoptera",NA
2100,"1000m","landr-scfm-v4","bird-wwcr","bird-wwcr/landr-scfm-v4/2100/1000m/mean.tif",0.0988851207921294,0.83808296918869,"bird","WWCR","White-winged Crossbill","Loxia leucoptera",NA
2011,"250m","landr-scfm-v4","bird-wwcr","bird-wwcr/landr-scfm-v4/2011/250m/mean.tif",0.102898377114399,2.06085777282715,"bird","WWCR","White-winged Crossbill","Loxia leucoptera",NA
2100,"250m","landr-scfm-v4","bird-wwcr","bird-wwcr/landr-scfm-v4/2100/250m/mean.tif",0.0992599743754809,2.05848121643066,"bird","WWCR","White-winged Crossbill","Loxia leucoptera",NA
2011,"1000m","landrcs-fs-v6a","bird-wwcr","bird-wwcr/landrcs-fs-v6a/2011/1000m/mean.tif",0.158077064230528,1.00219428539276,"bird","WWCR","White-winged Crossbill","Loxia leucoptera",NA
2100,"1000m","landrcs-fs-v6a","bird-wwcr","bird-wwcr/landrcs-fs-v6a/2100/1000m/mean.tif",0.259603618473508,1.49048686027527,"bird","WWCR","White-winged Crossbill","Loxia leucoptera",NA
2011,"250m","landrcs-fs-v6a","bird-wwcr","bird-wwcr/landrcs-fs-v6a/2011/250m/mean.tif",0.158519814479694,2.45125460624695,"bird","WWCR","White-winged Crossbill","Loxia leucoptera",NA
2100,"250m","landrcs-fs-v6a","bird-wwcr","bird-wwcr/landrcs-fs-v6a/2100/250m/mean.tif",0.260348771357295,1.96530711650848,"bird","WWCR","White-winged Crossbill","Loxia leucoptera",NA
2011,"1000m","landr-scfm-v4","bird-ybfl","bird-ybfl/landr-scfm-v4/2011/1000m/mean.tif",0.102782357084345,0.83848112821579,"bird","YBFL","Yellow-bellied Flycatcher","Empidonax flaviventris",NA
2100,"1000m","landr-scfm-v4","bird-ybfl","bird-ybfl/landr-scfm-v4/2100/1000m/mean.tif",0.0988851207921294,0.83808296918869,"bird","YBFL","Yellow-bellied Flycatcher","Empidonax flaviventris",NA
2011,"250m","landr-scfm-v4","bird-ybfl","bird-ybfl/landr-scfm-v4/2011/250m/mean.tif",0.102898377114399,2.06085777282715,"bird","YBFL","Yellow-bellied Flycatcher","Empidonax flaviventris",NA
2100,"250m","landr-scfm-v4","bird-ybfl","bird-ybfl/landr-scfm-v4/2100/250m/mean.tif",0.0992599743754809,2.05848121643066,"bird","YBFL","Yellow-bellied Flycatcher","Empidonax flaviventris",NA
2011,"1000m","landrcs-fs-v6a","bird-ybfl","bird-ybfl/landrcs-fs-v6a/2011/1000m/mean.tif",0.158077064230528,1.00219428539276,"bird","YBFL","Yellow-bellied Flycatcher","Empidonax flaviventris",NA
2100,"1000m","landrcs-fs-v6a","bird-ybfl","bird-ybfl/landrcs-fs-v6a/2100/1000m/mean.tif",0.259603618473508,1.49048686027527,"bird","YBFL","Yellow-bellied Flycatcher","Empidonax flaviventris",NA
2011,"250m","landrcs-fs-v6a","bird-ybfl","bird-ybfl/landrcs-fs-v6a/2011/250m/mean.tif",0.158519814479694,2.45125460624695,"bird","YBFL","Yellow-bellied Flycatcher","Empidonax flaviventris",NA
2100,"250m","landrcs-fs-v6a","bird-ybfl","bird-ybfl/landrcs-fs-v6a/2100/250m/mean.tif",0.260348771357295,1.96530711650848,"bird","YBFL","Yellow-bellied Flycatcher","Empidonax flaviventris",NA
2011,"1000m","landr-scfm-v4","bird-ybsa","bird-ybsa/landr-scfm-v4/2011/1000m/mean.tif",0.102782357084345,0.83848112821579,"bird","YBSA","Yellow-bellied Sapsucker","Sphyrapicus varius",NA
2100,"1000m","landr-scfm-v4","bird-ybsa","bird-ybsa/landr-scfm-v4/2100/1000m/mean.tif",0.0988851207921294,0.83808296918869,"bird","YBSA","Yellow-bellied Sapsucker","Sphyrapicus varius",NA
2011,"250m","landr-scfm-v4","bird-ybsa","bird-ybsa/landr-scfm-v4/2011/250m/mean.tif",0.102898377114399,2.06085777282715,"bird","YBSA","Yellow-bellied Sapsucker","Sphyrapicus varius",NA
2100,"250m","landr-scfm-v4","bird-ybsa","bird-ybsa/landr-scfm-v4/2100/250m/mean.tif",0.0992599743754809,2.05848121643066,"bird","YBSA","Yellow-bellied Sapsucker","Sphyrapicus varius",NA
2011,"1000m","landrcs-fs-v6a","bird-ybsa","bird-ybsa/landrcs-fs-v6a/2011/1000m/mean.tif",0.158077064230528,1.00219428539276,"bird","YBSA","Yellow-bellied Sapsucker","Sphyrapicus varius",NA
2100,"1000m","landrcs-fs-v6a","bird-ybsa","bird-ybsa/landrcs-fs-v6a/2100/1000m/mean.tif",0.259603618473508,1.49048686027527,"bird","YBSA","Yellow-bellied Sapsucker","Sphyrapicus varius",NA
2011,"250m","landrcs-fs-v6a","bird-ybsa","bird-ybsa/landrcs-fs-v6a/2011/250m/mean.tif",0.158519814479694,2.45125460624695,"bird","YBSA","Yellow-bellied Sapsucker","Sphyrapicus varius",NA
2100,"250m","landrcs-fs-v6a","bird-ybsa","bird-ybsa/landrcs-fs-v6a/2100/250m/mean.tif",0.260348771357295,1.96530711650848,"bird","YBSA","Yellow-bellied Sapsucker","Sphyrapicus varius",NA
2011,"1000m","landr-scfm-v4","bird-yewa","bird-yewa/landr-scfm-v4/2011/1000m/mean.tif",0.102782357084345,0.83848112821579,"bird","YEWA","Yellow Warbler","Setophaga petechia",NA
2100,"1000m","landr-scfm-v4","bird-yewa","bird-yewa/landr-scfm-v4/2100/1000m/mean.tif",0.0988851207921294,0.83808296918869,"bird","YEWA","Yellow Warbler","Setophaga petechia",NA
2011,"250m","landr-scfm-v4","bird-yewa","bird-yewa/landr-scfm-v4/2011/250m/mean.tif",0.102898377114399,2.06085777282715,"bird","YEWA","Yellow Warbler","Setophaga petechia",NA
2100,"250m","landr-scfm-v4","bird-yewa","bird-yewa/landr-scfm-v4/2100/250m/mean.tif",0.0992599743754809,2.05848121643066,"bird","YEWA","Yellow Warbler","Setophaga petechia",NA
2011,"1000m","landrcs-fs-v6a","bird-yewa","bird-yewa/landrcs-fs-v6a/2011/1000m/mean.tif",0.158077064230528,1.00219428539276,"bird","YEWA","Yellow Warbler","Setophaga petechia",NA
2100,"1000m","landrcs-fs-v6a","bird-yewa","bird-yewa/landrcs-fs-v6a/2100/1000m/mean.tif",0.259603618473508,1.49048686027527,"bird","YEWA","Yellow Warbler","Setophaga petechia",NA
2011,"250m","landrcs-fs-v6a","bird-yewa","bird-yewa/landrcs-fs-v6a/2011/250m/mean.tif",0.158519814479694,2.45125460624695,"bird","YEWA","Yellow Warbler","Setophaga petechia",NA
2100,"250m","landrcs-fs-v6a","bird-yewa","bird-yewa/landrcs-fs-v6a/2100/250m/mean.tif",0.260348771357295,1.96530711650848,"bird","YEWA","Yellow Warbler","Setophaga petechia",NA
2011,"1000m","landr-scfm-v4","bird-yrwa","bird-yrwa/landr-scfm-v4/2011/1000m/mean.tif",0.102782357084345,0.83848112821579,"bird","YRWA","Yellow-rumped Warbler","Setophaga coronata",NA
2100,"1000m","landr-scfm-v4","bird-yrwa","bird-yrwa/landr-scfm-v4/2100/1000m/mean.tif",0.0988851207921294,0.83808296918869,"bird","YRWA","Yellow-rumped Warbler","Setophaga coronata",NA
2011,"250m","landr-scfm-v4","bird-yrwa","bird-yrwa/landr-scfm-v4/2011/250m/mean.tif",0.102898377114399,2.06085777282715,"bird","YRWA","Yellow-rumped Warbler","Setophaga coronata",NA
2100,"250m","landr-scfm-v4","bird-yrwa","bird-yrwa/landr-scfm-v4/2100/250m/mean.tif",0.0992599743754809,2.05848121643066,"bird","YRWA","Yellow-rumped Warbler","Setophaga coronata",NA
2011,"1000m","landrcs-fs-v6a","bird-yrwa","bird-yrwa/landrcs-fs-v6a/2011/1000m/mean.tif",0.158077064230528,1.00219428539276,"bird","YRWA","Yellow-rumped Warbler","Setophaga coronata",NA
2100,"1000m","landrcs-fs-v6a","bird-yrwa","bird-yrwa/landrcs-fs-v6a/2100/1000m/mean.tif",0.259603618473508,1.49048686027527,"bird","YRWA","Yellow-rumped Warbler","Setophaga coronata",NA
2011,"250m","landrcs-fs-v6a","bird-yrwa","bird-yrwa/landrcs-fs-v6a/2011/250m/mean.tif",0.158519814479694,2.45125460624695,"bird","YRWA","Yellow-rumped Warbler","Setophaga coronata",NA
2100,"250m","landrcs-fs-v6a","bird-yrwa","bird-yrwa/landrcs-fs-v6a/2100/250m/mean.tif",0.260348771357295,1.96530711650848,"bird","YRWA","Yellow-rumped Warbler","Setophaga coronata",NA
2011,"1000m","landr-scfm-v4","bird-atsp","bird-atsp/landr-scfm-v4/2011/1000m/mean.tif",0.102782357084345,0.83848112821579,"bird","ATSP","American Tree Sparrow","Spizella arborea",NA
2100,"1000m","landr-scfm-v4","bird-atsp","bird-atsp/landr-scfm-v4/2100/1000m/mean.tif",0.0988851207921294,0.83808296918869,"bird","ATSP","American Tree Sparrow","Spizella arborea",NA
2011,"250m","landr-scfm-v4","bird-atsp","bird-atsp/landr-scfm-v4/2011/250m/mean.tif",0.102898377114399,2.06085777282715,"bird","ATSP","American Tree Sparrow","Spizella arborea",NA
2100,"250m","landr-scfm-v4","bird-atsp","bird-atsp/landr-scfm-v4/2100/250m/mean.tif",0.0992599743754809,2.05848121643066,"bird","ATSP","American Tree Sparrow","Spizella arborea",NA
2011,"1000m","landrcs-fs-v6a","bird-atsp","bird-atsp/landrcs-fs-v6a/2011/1000m/mean.tif",0.158077064230528,1.00219428539276,"bird","ATSP","American Tree Sparrow","Spizella arborea",NA
2100,"1000m","landrcs-fs-v6a","bird-atsp","bird-atsp/landrcs-fs-v6a/2100/1000m/mean.tif",0.259603618473508,1.49048686027527,"bird","ATSP","American Tree Sparrow","Spizella arborea",NA
2011,"250m","landrcs-fs-v6a","bird-atsp","bird-atsp/landrcs-fs-v6a/2011/250m/mean.tif",0.158519814479694,2.45125460624695,"bird","ATSP","American Tree Sparrow","Spizella arborea",NA
